sample,outcome,label,label_rows,coef,p_value,nobs,interpretation
Broad,competitor_abret_spy_t1,industry_news,661,0.006186,0.0036,4433,positive and statistically significant
Strict,competitor_abret_spy_t1,industry_news,661,0.006227,0.0031,2909,positive and statistically significant
Broad,competitor_car_abret_spy_1_3,same_direction_contagion,3093,0.01125,0.0381,4433,positive; stronger in strict sample
Strict,competitor_car_abret_spy_1_3,same_direction_contagion,1760,0.014925,0.0125,2909,positive; stronger in strict sample
Broad,competitor_abret_spy_t1,opposite_direction_competition,39,0.008086,0.3553,4433,positive sign but sparse and imprecise
Strict,competitor_abret_spy_t1,opposite_direction_competition,27,0.007211,0.5442,2909,positive sign but sparse and imprecise
