step,stage,unit,count,source_file
1,Raw ticker-level news rows,rows,55094,data/interim/news_normalized.csv
2,Cleaned ticker-level rows,rows,52538,data/interim/news_basic_clean.csv
3,Unique articles,articles,38131,data/interim/news_unique_articles.csv
4,LLM-classified articles,articles,1250,data/processed/llm_output/llm_classifications_sample_n50_per_stratum_max1500_final.csv
5,Relevant classified articles,articles,930,data/processed/llm_output/llm_classifications_sample_n50_per_stratum_max1500_final.csv
6,Event-panel rows,rows,4544,data/processed/news_competitor_event_panel.csv
