relevance_type,panel_rows,unique_articles,competitor_abret_spy_t1_nonmissing,competitor_abret_spy_t1_mean,competitor_car_abret_spy_0_1_nonmissing,competitor_car_abret_spy_0_1_mean,competitor_car_abret_spy_1_3_nonmissing,competitor_car_abret_spy_1_3_mean
target_company_news,1491,387,1449,0.0007464224754522218,1480,0.0013994403171779452,1449,0.003345148173952276
competitor_company_news,554,122,550,7.598103120145567e-05,550,0.0015823356009329538,550,-0.00061592745954491
industry_news,661,106,651,0.006592414790894741,658,0.006187636402687194,651,0.008783065835934623
macro_policy_news,267,63,259,0.0007657407201927233,259,0.003724889288934923,259,0.004509968605542584
market_roundup_but_relevant,1571,252,1524,0.0026328046706894487,1548,0.0065302421580401525,1524,0.005192719391041422
