sample_definition,outcome,model_family,term_label,coef,std_err,p_value,nobs,rsquared,cov_type
strict,competitor_abret_spy_t1,relevance_type + primary_industry,industry_news,0.006227,0.002104,0.003081,2909,0.015008,cluster_article_id
strict,competitor_abret_spy_t1,expected_competitor_effect,same_direction_contagion,0.00557,0.002857,0.0512,2909,0.003247,cluster_article_id
strict,competitor_car_abret_spy_0_1,expected_competitor_effect,same_direction_contagion,0.005978,0.004438,0.178007,2947,0.003338,cluster_article_id
strict,competitor_car_abret_spy_1_3,expected_competitor_effect,same_direction_contagion,0.014925,0.005975,0.012491,2909,0.008401,cluster_article_id
strict,competitor_abret_spy_t1,relevance_type + primary_industry,banks_finance,-0.003096,0.002368,0.191032,2909,0.015008,cluster_article_id
strict,competitor_abret_spy_t1,relevance_type + primary_industry,macro_market,-0.005204,0.003917,0.183935,2909,0.015008,cluster_article_id
